F1_macro,F1_toxic,FPR_high_black,FPR_reference,TPR_high_black,TPR_reference,stat_parity_diff,equal_opp_diff,alpha,tolerance
0.8192654878516098,0.6668791839336946,0.15384615384615385,0.10483870967741936,0.6666666666666666,0.6296296296296297,0.03225135247607158,0.03703703703703698,0.0,0.3
0.8192654878516098,0.6668791839336946,0.15384615384615385,0.10483870967741936,0.6666666666666666,0.6296296296296297,0.03225135247607158,0.03703703703703698,0.06666666666666667,0.27999999999999997
0.819491083118858,0.6673040152963671,0.15384615384615385,0.10483870967741936,0.6666666666666666,0.6481481481481481,0.02663337494798168,0.01851851851851849,0.13333333333333333,0.26
0.8196113912241426,0.6675167357347784,0.1452991452991453,0.10483870967741936,0.6666666666666666,0.6481481481481481,0.02046053544180887,0.01851851851851849,0.2,0.24
0.8195962688914156,0.6675159235668789,0.15384615384615385,0.11290322580645161,0.6666666666666666,0.6666666666666666,0.015397419891801878,0.0,0.26666666666666666,0.22
0.8194760609666139,0.6673034065584209,0.15384615384615385,0.12096774193548387,0.6666666666666666,0.6666666666666666,0.009779442363712032,0.0,0.3333333333333333,0.2
0.8195962688914156,0.6675159235668789,0.1452991452991453,0.12096774193548387,0.6666666666666666,0.6666666666666666,0.0036066028575392206,0.0,0.4,0.18
0.8197165437614884,0.6677285759796113,0.1452991452991453,0.11290322580645161,0.6444444444444445,0.6851851851851852,-0.0025662366486336463,-0.040740740740740744,0.4666666666666667,0.16
0.8200622454992421,0.6683657215673782,0.13675213675213677,0.11290322580645161,0.6666666666666666,0.6851851851851852,-0.0025662366486336463,-0.0185185185185186,0.5333333333333333,0.13999999999999999
0.8193857621173469,0.6670918367346939,0.1282051282051282,0.12096774193548387,0.6444444444444445,0.6481481481481481,-0.009293938132889479,-0.0037037037037036535,0.6,0.12
0.8198215613284001,0.6679401464501751,0.13675213675213677,0.12903225806451613,0.6666666666666666,0.6851851851851852,-0.013802191704813449,-0.0185185185185186,0.6666666666666666,0.1
0.8202874709263144,0.6687898089171974,0.1282051282051282,0.12096774193548387,0.6666666666666666,0.7037037037037037,-0.01997503121098626,-0.03703703703703709,0.7333333333333333,0.08000000000000002
0.8197165437614884,0.6677285759796113,0.1282051282051282,0.12903225806451613,0.6444444444444445,0.6851851851851852,-0.026147870717159127,-0.040740740740740744,0.8,0.059999999999999984
0.8202874709263144,0.6687898089171974,0.1282051282051282,0.12096774193548387,0.6444444444444445,0.7222222222222222,-0.03176584824524903,-0.07777777777777772,0.8666666666666667,0.03999999999999999
0.8201670616901866,0.6685768863419294,0.1282051282051282,0.12903225806451613,0.6444444444444445,0.7222222222222222,-0.037383825773338875,-0.07777777777777772,0.9333333333333333,0.019999999999999993
0.8202874709263144,0.6687898089171974,0.11965811965811966,0.12903225806451613,0.6444444444444445,0.7222222222222222,-0.043556665279511686,-0.07777777777777772,1.0,0.0
